id    , name     , moneda      , estado    , producto                                                                                                                             , cantidad   , precio_unitario
""    , ""       , ""          , ""        , "  └─ Barrera Detectora de Humo FireOne - Fireclass"                                                                                 , "10.0"     , "357.46"
""    , ""       , ""          , ""        , "  └─ Fuente de alimentación BXM24/50-U FIRECLASS"                                                                                   , "5.0"      , "193.0"
"1728", "PO01725", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Panel de control Direccionable (250 Direcciones) MX"                                                                           , "7.0"      , "469.92"
"1726", "PO01723", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Modelo de interfaz de detector lineal"                                                                                         , "1.0"      , "55.02"
""    , ""       , ""          , ""        , "  └─ Modelo de final de línea de detector lineal"                                                                                   , "1.0"      , "37.01"
""    , ""       , ""          , ""        , "  └─ GASTOS VARIOS"                                                                                                                 , "1.0"      , "30.09"
"1721", "PO01718", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector antirrobo volumétrico óptico Astra-5"                                                                                 , "60.0"     , "4.09"
""    , ""       , ""          , ""        , "  └─ Detector PIR cableado TEKO"                                                                                                    , "300.0"    , "3.65"
""    , ""       , ""          , ""        , "  └─ Detector de rotura de cristales Astra-GB - TEKO"                                                                               , "50.0"     , "4.68"
""    , ""       , ""          , ""        , "  └─ Detector de movimiento combinado Astra-621 - TEKO"                                                                             , "50.0"     , "11.9"
""    , ""       , ""          , ""        , "  └─ Botón de pánico"                                                                                                               , "300.0"    , "2.27"
""    , ""       , ""          , ""        , "  └─ Alarma de luz de señalización Astra-10 Ver3 TEKO"                                                                              , "200.0"    , "3.51"
""    , ""       , ""          , ""        , "  └─ Receptor inalambrico para el sistema Astra-RC 433"                                                                             , "30.0"     , "16.76"
""    , ""       , ""          , ""        , "  └─ Sistema de Incendio  intrusión y control de temperatura inalámbrico - Teko"                                                    , "200.0"    , "46.32"
""    , ""       , ""          , ""        , "  └─ Detector antirrobo de punto de contacto magnético -ASTRA-3321 - TEKO"                                                          , "200.0"    , "12.94"
""    , ""       , ""          , ""        , "  └─ Detector antirrobo - Astra-5121 - TEKO"                                                                                        , "200.0"    , "15.89"
""    , ""       , ""          , ""        , "  └─ Mando a distancia inalámbrico  433 MHz  botón de pánico - TEKO"                                                                , "100.0"    , "8.23"
""    , ""       , ""          , ""        , "  └─ Sirena audiovisual inalámbrica TEKO"                                                                                           , "100.0"    , "20.06"
""    , ""       , ""          , ""        , "  └─ Detector de humo inalámbrico TEKO"                                                                                             , "300.0"    , "17.66"
""    , ""       , ""          , ""        , "  └─ Detector termovelocimétrico inalámbrico TEKO"                                                                                  , "100.0"    , "23.02"
""    , ""       , ""          , ""        , "  └─ Pulsador manual de incendio inalámbrico TEKO"                                                                                  , "50.0"     , "25.33"
""    , ""       , ""          , ""        , "  └─ Gastos de envio.-"                                                                                                             , "1.0"      , "1503.55"
""    , ""       , ""          , ""        , "  └─ Botón de pánico inalámbrico(433 MHz) - TEKO"                                                                                   , "60.0"     , "8.39"
""    , ""       , ""          , ""        , "  └─ Soporte para Instalación de Sensores en Pared (Tipo Bola) - TEKO"                                                              , "1000.0"   , "0.46"
""    , ""       , ""          , ""        , "  └─ Detector de fugas de  agua  Alimentación desde  zona cableada"                                                                 , "20.0"     , "5.96"
""    , ""       , ""          , ""        , "  └─ Sensor de movimiento  PIR   inalámbrico  para  oficinas  433 MHz"                                                              , "50.0"     , "15.89"
""    , ""       , ""          , ""        , "  └─ Sensor de doble  tecnología   inalámbrico  combinado  (rotura vidrios +  movimiento PIR)  433  MHz"                            , "50.0"     , "25.99"
""    , ""       , ""          , ""        , "  └─ GASTOS VARIOS"                                                                                                                 , "1.0"      , "69.55"
"1718", "PO01715", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector controlador y Transductor de gases combustibles"                                                                      , "5.0"      , "433.75"
""    , ""       , ""          , ""        , "  └─ Gastos por Envio/ Delivery"                                                                                                    , "1.0"      , "45.0"
"1717", "PO01714", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ RG- NCP RJ45 PATCH CORD CAT 6A S/FTP LSZH GRIS"                                                                                , "31.0"     , "9.24"
""    , ""       , ""          , ""        , "  └─ AMP-TWIST SLX MODULAR JACK CAT 6A "                                                                                            , "31.0"     , "5.22"
"1712", "PO01709", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Terminal de Control de Acceso y Asistencia con Reconocimiento Facial Visible Light"                                            , "1.0"      , "105.0"
"1706", "PO01703", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Pedestal Ultra 1.8 Primario SENSORMATIC"                                                                                       , "30.0"     , "657.3497"
""    , ""       , ""          , ""        , "  └─ Pedestal Ultra 1.8 Secundario SENSORMATIC"                                                                                     , "20.0"     , "291.2301"
""    , ""       , ""          , ""        , "  └─ Tachuela SuperTag Gris SENSORMATIC"                                                                                            , "80000.0"  , "0.0471"
""    , ""       , ""          , ""        , "  └─ Tachuela cabeza de plastico SENSORMATIC"                                                                                       , "100000.0" , "0.0377"
""    , ""       , ""          , ""        , "  └─ Separador Manual AMD-3040 ST - Sensormatic"                                                                                    , "15.0"     , "67.2876"
""    , ""       , ""          , ""        , "  └─ Etiquetas SuperTag 3 Gris SENSORMATIC"                                                                                         , "65000.0"  , "0.2238"
""    , ""       , ""          , ""        , "  └─ Separador universal negro SENSORMATIC 5kgaus"                                                                                  , "50.0"     , "19.2326"
""    , ""       , ""          , ""        , "  └─ Ajuste de Factura por Compras"                                                                                                 , "1.0"      , "0.003"
"1705", "PO01702", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DESACTIVADOR ELECTRONICO AMB 2011 - SENSORMATIC"                                                                               , "80.0"     , "284.05"
"1704", "PO01701", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Pedestal UltraPost VI Primario SENSORMATIC"                                                                                    , "12.0"     , "858.7335"
"1702", "PO01699", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Pedestal Primario AMS1146 Ultra 1.5"                                                                                           , "2.0"      , "546.7725"
""    , ""       , ""          , ""        , "  └─ Pedestal Secundario AMS1146 Ultra 1.5"                                                                                         , "6.0"      , "296.97"
